Name,Mean Views,Mean Likes,Mean Comments,Release Date,price,Positive Reviews,Category,Name_Cleaned,Total Streams18,Total Viewers18,Clip Count,Clip Views,Clip Duration,Total Streams19,Total Viewers19,Streamer Count,Total Followers,Total Streams23,Total Viewers23,Avg followers,Avg clip views,Avg clip duration,Total Streams11,Total Viewers11
Path of Exile 2,1200449,27748,3617,06/12/2024,23.93,0.8,multiplayer,Path of Exile 2,1227,131581,1097,10881538,36706,1251,132983,0,0,1147,33224,0,9919,33,768,33619
EA SPORTS FC™ 25,1795573,50170,2596,26/09/2024,0.99,0.46,multiplayer,EA SPORTS FC 25,3590,387157,1000,2168086,27903,3473,320967,0,0,2856,158275,0,2168,27,965,40262
Rust,8265065,265283,2839,08/02/2018,34.99,0.87,multiplayer,Rust,607,18136,1000,62874633,35735,634,19460,1000,2081602,556,19050,2081,62874,35,327,8732
Once Human,1957915,57510,1594,09/07/2024,0,0.78,multiplayer,Once Human,279,6889,999,1198484,31568,285,6529,191,32557,287,6035,170,1199,31,177,4968
PUBG: BATTLEGROUNDS,8537012,285110,5057,21/12/2017,0,0.69,multiplayer,PUBG: BATTLEGROUNDS,1174,17992,1000,13226125,29584,1177,17241,18,1295087,1070,10327,71949,13226,29,515,7297
"Warhammer 40,000: Space Marine 2",2049863,86496,2410,09/09/2024,54.54,0.85,multiplayer,"Warhammer 40,000: Space Marine 2",63,337,999,620009,27888,81,391,0,0,75,186,0,620,27,33,89
Ready or Not,30050777,317584,10239,13/12/2023,16.79,0.89,multiplayer,Ready or Not,53,190,999,1608257,27442,58,239,242,969,69,242,4,1609,27,23,106
War Thunder,16161672,460302,5647,15/08/2013,0,0.73,multiplayer,War Thunder,343,2848,1000,1100630,30557,352,3214,1000,463895,277,4723,463,1100,30,155,1196
ICARUS,6392716,71713,1876,03/12/2021,111.08,0.76,multiplayer,ICARUS,33,123,995,279532,30801,27,112,1000,86614,40,127,86,280,30,25,146
The Sims™ 4,3764657,104045,9275,02/09/2014,0,0.86,multiplayer,The Sims 4,207,3207,1000,4967535,29338,225,3050,415,724,183,6622,1,4967,29,67,1400
Euro Truck Simulator 2,41708689,631049,1791,18/10/2012,140.58,0.96,multiplayer,Euro Truck Simulator 2,262,3590,999,2961770,29436,270,3805,0,0,244,3589,0,2964,29,175,1298
Aloft,196188,3149,106,15/01/2025,20.99,0.77,multiplayer,Aloft,133,3107,1096,15662,29968,138,2906,1000,250534,143,3401,250,14,27,63,1861
Tom Clancy's Rainbow Six® Siege,6428356,190625,3944,01/12/2015,17.99,0.78,multiplayer,Tom Clancy's Rainbow Six Siege,1441,8676,1000,19285174,26302,1527,9472,0,0,2258,33400,0,19285,26,709,3905
Dota 2,2314816,62138,950,09/07/2013,0,0.74,multiplayer,Dota 2,2080,111904,1096,75866703,36999,2021,87708,1000,7189730,1312,52576,7189,69221,33,1323,82285
Hearts of Iron IV,2753802,75900,2221,06/06/2016,41.99,0.9,multiplayer,Hearts of Iron IV,30,1709,998,1523942,27252,37,2948,0,0,36,3697,0,1526,27,16,92
Black Desert,523735,7782,687,24/05/2017,8.99,0.71,multiplayer,Black Desert,179,6305,999,4612653,33545,197,6324,563,240847,184,4854,427,4617,33,146,5430
Phasmophobia,8698768,340404,8744,18/09/2020,16.75,0.94,multiplayer,Phasmophobia,613,5974,999,7547749,27715,707,6238,499,6682,928,8987,13,7555,27,249,1791
Avatar: Frontiers of Pandora™,596095,14205,883,17/06/2024,95.7,0.65,multiplayer,Avatar: Frontiers of Pandora,23,63,1000,314587,27481,24,62,0,0,32,1369,0,314,27,9,17
SMITE 2,129010,3968,311,27/08/2024,0,0.61,multiplayer,SMITE 2,165,9734,1100,149978,29221,184,15838,831,7606,208,17678,9,136,26,79,2034
Apex Legends™,586030,22823,877,04/11/2020,0,0.41,multiplayer,Apex Legends,1716,27227,997,46635103,33206,1706,26674,1000,11757,1695,12954,11,46775,33,1330,12198
Fast Food Simulator,1335703,67403,2321,10/12/2024,12.79,0.95,multiplayer,Fast Food Simulator,44,627,1000,351977,32199,53,759,3,14,79,3021,4,351,32,10,108
Delta Force,4900481,164287,3012,04/12/2024,0,0.71,multiplayer,Delta Force,576,14300,1100,432812,31457,590,14746,1000,24203,586,13417,24,393,28,452,22922
Strinova,607752,6276,263,21/11/2024,0,0.72,multiplayer,Strinova,135,54082,1000,321340,27457,135,28940,444,10791,130,21433,24,321,27,69,1726
Team Fortress 2,44381871,825580,33718,10/10/2007,0,0.94,multiplayer,Team Fortress 2,28,157,1000,4424072,26720,40,201,211,544,38,219,2,4424,26,15,88
Project Zomboid,2503959,119296,1811,08/11/2013,16.75,0.93,multiplayer,Project Zomboid,262,14425,999,4895417,33611,271,27612,94,295,277,15229,3,4900,33,118,8645
Torchlight: Infinite,99183,952,146,09/05/2023,0,0.65,multiplayer,Torchlight: Infinite,37,2333,1100,259250,33056,34,2169,4,6016,36,826,1504,235,30,41,2435
Crusader Kings III,2151805,58612,1302,01/09/2020,41.99,0.87,multiplayer,Crusader Kings III,25,3871,999,718757,27210,25,2745,0,0,14,226,0,719,27,13,40
BeamNG.drive,102133997,1306539,1992,29/05/2015,19.2,0.96,multiplayer,BeamNG.drive,20,86,982,1025062,25497,20,91,125,225,14,69,1,1043,25,7,9
Stellaris,1932666,65172,1509,09/05/2016,34.99,0.87,multiplayer,Stellaris,16,67,997,316196,29892,14,58,1000,14560,14,43,14,317,29,5,29
Enshrouded,1281390,16176,707,24/01/2024,24.99,0.82,multiplayer,Enshrouded,78,855,995,526611,28055,80,732,74,121,74,569,1,529,28,34,728
Microsoft Flight Simulator 2024,3365920,123993,2319,19/11/2024,69.99,0.46,multiplayer,Microsoft Flight Simulator 2024,55,1194,1098,128894,35092,68,1491,0,0,55,1003,0,117,31,38,376
